,Polarity,UserComments,Polarity_type,Label
2,0.7,use card year benefit reward good,Positive,1
4,1,valueback deal fuel perfect benefit card,Positive,1
8,0.7,tini reward redempt fee reward good,Positive,1
9,0.3,got reward worth sbi exceed spend lac,Positive,1
12,0.42,sinc year use citi bank reward credit card life time free card given credit limit rs use card shop purpos get credit card statement email bank provid good servic rate interest high,Positive,1
17,1,travel reward plan icici rubyx card best,Positive,1
18,1,credit card truli best come mileston reward save,Positive,1
22,0.3,get mileston bonu membership reward point redeem travel voucher worth rs,Positive,1
25,0.8,reward point hold great valu use cashback,Positive,1
27,0.65,perfectli reward credit card simpli love great,Positive,1
29,0.85,year use sbi simpli save card perfect card good benefit reward,Positive,1
30,1,perfect lifestyl card bag fascin benefit,Positive,1
31,0.5,glad could easili redeem reward number option,Positive,1
33,1,sbi waiv fuel surcharg fee best bank ever,Positive,1
38,0.45,use icici bank platinum credit card year given good credit rs l life time free card mostli use card shop groceri fill fuel reward point convert big bazaar card emi facil give good servic,Positive,1
41,0.7,happi satiat save good degre form reward cashback benefit card,Positive,1
49,0.4,redeem reward point got free gift voucher lifestyl brand,Positive,1
51,0.55,use sbi credit card three month reward point offer card use card onlin shop fuel surcharg groceriesth credit limit card suffici like card life time free card good use,Positive,1
52,0.283333333,use citi bank reward credit card past year got card along salari account life time free card custom servic respons good use card purpos get movi ticket friday,Positive,1
55,0.5,got credit limit l sbi card hold card month appli onlin prefer emi convers simpli save card drawback custom servic reachabl whenev contact receiv card week verif done good servic use shop far got reward point alreadi redeem accord good card famili member,Positive,1
59,0.333333333,super happi hsbc let redeem reward gift voucher,Positive,1
60,0.7,hdfc bank offer titanium time credit card use card yearsther annual fee given good credit limit use shop get reward point emi facil avail card get credit card statement email,Positive,1
62,0.7,save good form reward sbi card,Positive,1
68,0.5,card multipl reward redempt option love,Positive,1
71,0.5,love incred benefit offer simplic reward avail card,Positive,1
72,0.6,redeem reward point got nice backpack mom,Positive,1
73,0.4,get good ffp mile reward spend done frequent flyer program ffp,Positive,1
74,0.708333333,perfect travel card fine choic deal reward,Positive,1
77,0.4,sbi offer good credit limit credit card annual charg sure document simpl upload onin receiv within day simpli save simpli save card reward convert cash back mostli use shop fuel purpos,Positive,1
79,1,premium card sbi come extens varieti reward offer best one ever seen,Positive,1
80,0.55,reward system credit card far best,Positive,1
85,0.7,pretti satiat good rang dine groceri department store reward come way sbi card,Positive,1
87,0.416666667,hdfc diner black credit card load unparallel benefit featur travel lifestyl protect best industri reward redempt,Positive,1
89,0.5,glad got inr cashback mmt payment join fee,Positive,1
91,0.3,get shop travel voucher worth inr card,Positive,1
92,0.416666667,like fine varieti benefit reward get card,Positive,1
93,0.5,perfect card everi sens low cost extrem reward,Positive,1
97,0.75,love reward perfect sbi card recommend,Positive,1
98,1,redeem reward point credit outstand bill sbi best,Positive,1
101,1,perfect credit card fetch incred fascin reward flight hotel book,Positive,1
105,0.5,love could redeem reward point payment util bill,Positive,1
108,0.6,sbi offer tata credit card use year free card given suffici credit limit rs use shop purpos mostli emi option avail bank good app servic good get discount tata product like star bazaar croma appli card channel,Positive,1
114,0.9,perfect card use sinc year great benefit shop dine movi department store,Positive,1
118,-0.25,havent use reward past year go redeem soon shop,Negative,0
119,0.7,good way redeem reward card,Positive,1
129,0.5,love reward sbi term fuel cost,Positive,1
130,1,research reward rate found card reward earn rate perfect got bring reward rate,Positive,1
131,0.7,sbi offer credit card conveni shoppingonlin payment balanc recharg card good reward point awar credit limit sinc check itth bank send card statement timeth servic bank goodi satisfi card,Positive,1
136,0.8,believ great card benefit reward get bounti,Positive,1
143,0.45,kind reward get card make everi expens worth,Positive,1
148,0.416666667,super glad fine mix reward cashback mileston bonus come way card,Positive,1
152,-0.2625,custom account hdfc easi login account time need login mobil app access appli card via onlin hold card past month annual fee chargeabl rupe waiver option spend k within year credit limit l use onlin shop fuel purchas base usag get cash back money back card,Negative,0
154,-0.25,small fee redempt reward inr,Negative,0
156,0.45,use icici bank platinum credit card year given good credit rs l life time free card mostli use card shop groceri fill fuel reward point convert big bazaar card emi facil give good servic,Positive,1
157,0.33,month use sbi elit card high valu rewardbas card love,Positive,1
161,0.4,enjoy humong rang mileston bonu membership reward point card,Positive,1
163,0.416666667,fine lifestyl benefit applic scb credit card,Positive,1
164,0.3,reward credit card sinc hold citi bank card much benefit like reward point discount redeem point indian oil petrol free card given suffici credit limit rs l emi option avail mostli use shop fuel purpos quarterli get airport loung access domest intern,Positive,1
165,0.416666667,honestli got know fine varieti reward sbi elit card simpli opt,Positive,1
166,0.4,chosen sbi credit card sinc got offerth credit limit good chargeabl card movi benefit well fuel offer discount shop usefulther difficulti face far use credit card,Positive,1
170,0.291666667,pretti happi decent scheme reward fine varieti benefit get sbi,Positive,1
172,0.333333333,super happi get reward everi spend card,Positive,1
173,0.431666667,use sbi credit card sinc like shop travel benefit lot reward rate unsatisfactori high annual fee expect credit card offer decent reward custom care servic also good overal good,Positive,1
176,1,best apart redeem reward point outlet merchant,Positive,1
177,0.275,join fee pay sbi card though slightli higher side reward make worth price,Positive,1
180,1,perfect card numer fuel save,Positive,1
183,1,everi reward point equival inr perfect scheme,Positive,1
187,0.416666667,reward catalogu sbi amaz bring fine varieti reward benefit,Positive,1
188,0.7,card fetch good birthday benefit spend inr get reward point,Positive,1
195,0.7,issu go citi bank indian oil platinum credit card purchas fuel indian oil bunk abl make transact purchas rs k year get option zero annual fee credit limit servic good,Positive,1
196,0.375,super satiat fine mix benefit reward get card,Positive,1
199,0.55,reward benefit program credit card far best,Positive,1
202,1,benefit fuel save card provid best,Positive,1
203,0.558333333,plan good chosen sbi credit card said wont get fuel sur charg waiver use card buy petrol rs irctc websit book ticket give cashback card protect plan get replac immedi lost card gave limit rs annual fee rs gst charg waiver option would fine,Positive,1
207,0.3,credit card fetch welcom reward worth inr,Positive,1
210,0.7,reward earn rate amex card superior card,Positive,1
213,0.43125,look major fuel spend great pick,Positive,1
217,0.5,glad save fuel cost sbi bpcl card,Positive,1
220,0.7,happi offer credit card offer hdfc bank good get reward point benefit limit also expect rs custom support respons prompt help use card purpos,Positive,1
221,0.3,got much onlin offer henc chosen sbi credit card credit limit good whatev inform got yearli chargeabl credit card need pay rs fuel benefit get cash back offer well reward point,Positive,1
226,0.5,success sign hdfc diner card got good reward point,Positive,1
227,0.85,best credit card fetch good discount lifestyl categori,Positive,1
229,0.9,card sbi perfect peopl like sinc make lot busi travel across globe reward benefit loung benefit card great,Positive,1
230,1,perfect card holder need exclus offer fuel purchas,Positive,1
235,0.8,sbi simpli save card great card sinc one give addit reward point movi groceri dine,Positive,1
237,0.6,chosen annual fee chargeabl card sbi around rupe also option waiver credit limit k good card use provid free airport loung access time yearli basi receiv card within day use card fuel shop purpos get good offer happi facil compar bank,Positive,1
243,1,paid renew credit card best one fuel save,Positive,1
244,0.7,use sbi elit card shop department store got good valu reward,Positive,1
